color,score,opening,moves,date,time_control
black,win,,36,2018.03.19,300+0
black,win,,70,2018.03.19,300+0
black,loss,,22,2018.03.19,300+0
black,win,,32,2018.03.18,600+0
black,loss,,9,2018.03.18,600+0
black,draw,,63,2018.03.18,600+0
black,win,,10,2018.03.18,600+0
black,win,,27,2018.03.18,600+0
black,win,,22,2018.03.18,300+0
black,loss,,4,2018.03.18,300+0
black,win,,6,2018.03.18,300+0
black,win,,20,2018.03.18,300+0
black,loss,,24,2018.03.18,300+0
black,loss,,13,2018.03.18,300+0
black,win,,22,2018.03.18,300+0
black,loss,,23,2018.03.18,300+0
black,loss,,43,2018.03.18,300+0
black,draw,,55,2018.03.18,300+0
black,loss,,28,2018.03.18,300+0
black,loss,,61,2018.03.18,300+0
black,loss,,52,2018.03.18,300+0
black,win,,44,2018.03.18,300+0
black,loss,,19,2018.03.18,300+0
black,win,,33,2018.03.18,300+0
black,loss,,19,2018.03.18,600+0
black,draw,,32,2018.03.17,480+0
black,loss,,19,2018.03.17,480+0
black,loss,,25,2018.03.17,60+0
black,loss,,48,2018.03.17,300+0
black,win,,10,2018.03.17,300+0
black,loss,,47,2018.03.17,300+0
black,loss,,56,2018.03.17,300+0
black,loss,,60,2018.03.17,600+0
black,win,,18,2018.03.17,600+0
black,loss,,55,2018.03.17,600+0
black,win,,28,2018.03.17,600+0
black,loss,,12,2018.03.17,600+0
black,win,,23,2018.03.17,600+0
black,win,,40,2018.03.17,600+0
black,win,,32,2018.03.17,600+0
black,loss,,7,2018.03.16,1500+0
black,win,,43,2018.03.16,900+0
black,win,,42,2018.03.16,1800+0
black,win,,26,2018.03.16,420+0
black,win,,33,2018.03.16,600+0
black,loss,,7,2018.03.16,1800+0
black,win,,50,2018.03.15,300+0
black,win,,5,2018.03.15,300+0
black,loss,,17,2018.03.15,300+0
black,win,,10,2018.03.15,300+0
black,loss,,57,2018.03.15,300+0
black,win,,10,2018.03.15,300+0
black,loss,,8,2018.03.15,300+0
black,win,,18,2018.03.15,300+0
black,loss,,2,2018.03.12,-
black,loss,,50,2018.03.10,600+0
black,loss,,8,2018.03.10,600+0
black,loss,,9,2018.03.10,600+0
black,win,,18,2018.03.10,600+0
black,loss,,23,2018.03.10,600+0
black,win,,3,2018.03.10,10800+0
black,draw,,15,2018.03.09,600+0
black,loss,,35,2018.03.09,600+0
black,loss,,21,2018.03.09,600+0
black,win,,42,2018.03.09,600+0
black,loss,,39,2018.03.09,600+0
black,win,,2,2018.03.09,-
black,win,,29,2018.03.08,600+0
black,loss,,43,2018.03.08,600+0
black,win,,13,2018.03.08,600+0
black,loss,,2,2018.03.08,-
black,win,,2,2018.03.08,-
black,win,,2,2018.03.03,-
black,loss,,2,2018.03.01,-
black,draw,,2,2018.02.28,1200+10
black,loss,,2,2018.02.28,-
black,loss,,10,2018.02.28,60+0
black,win,,30,2018.02.28,60+0
black,loss,,20,2018.02.28,60+0
black,win,,6,2018.02.28,60+0
black,loss,,13,2018.02.28,60+0
black,win,,20,2018.02.28,60+0
black,loss,,7,2018.02.28,60+0
black,win,,4,2018.02.28,60+0
black,loss,,22,2018.02.28,60+0
black,win,,12,2018.02.28,60+0
black,loss,,9,2018.02.28,60+0
black,win,,6,2018.02.28,60+0
black,loss,,9,2018.02.28,60+0
black,win,,7,2018.02.28,60+0
black,loss,,2,2018.02.28,-
black,loss,,2,2018.02.27,-
black,win,,19,2018.02.27,-
black,loss,,10,2018.02.25,600+5
black,win,,29,2018.02.25,-
black,win,,47,2018.02.25,300+5
black,win,,30,2018.02.24,180+8
black,win,,42,2018.02.24,15+4
black,win,,21,2018.02.24,600+0
black,loss,,44,2018.02.24,600+0
