color,score,opening,opening_name,moves,date,time_control,moves_pgn,white_elo,black_elo,elo
white,win,d4 f5 e3 Nf6,Unknown,65,2025.12.28,300+8,d4 f5 e3 Nf6 f4 e6 Nf3 Bb4+ c3 Bd6 Ne5 O-O Bd3 b6 O-O Nc6 Nd2 Nxe5 fxe5 Bxe5 dxe5 Ng4 Nf3 Bb7 h3 Nh6 Qe2 d6 exd6 Qxd6 e4 Rf6 e5 Qd5 exf6 gxf6 Bxh6 Kh8 Rad1 Rg8 Bc4 Qc6 Bxe6 Rg6 Bc1 f4 Bf5 Rg3 Rd2 Qc5+ Nd4 Rxg2+ Qxg2 Bxg2 Kxg2 Qd5+ Kh2 Qxa2 Rxf4 Qd5 Ne6 Qe5 Rf2 Qe1 Rf1 Qe2+ Kh1 Kg8 Nd4 Qh5 Bg4 Qd5+ Kh2 c5 Nf5 Kf7 Ne3 Qb3 Rxf6+ Ke7 Rf7+ Kd6 Rxh7 Kc6 Rhf7 a5 R7f6+ Kb5 Be2+ Ka4 Nc4 Qc2 R6f4 Qxe2+ Kh1 Kb5 Nd6+ Ka6 R4f2 Qe6 Bf4 Qxh3+ Bh2 Qh6 Rf6 Qh5 R6f5 Qe2 Nf7 Qxb2 c4 a4 R5f2 Qg7 Nd6 Qh6 Nb5 Qc6+ Kg1 Qg6+ Rg2 Qd3 Bg3 Qxc4 Nd6 Qd4+ Kh1 Qxd6 Bxd6,1545,1585,1545
black,loss,e4 e6 d4 d6,French Defence,44,2025.12.28,300+8,e4 e6 d4 d6 Nf3 c6 Nc3 Nf6 e5 dxe5 dxe5 Qxd1+ Nxd1 Nd5 c3 Be7 Bd3 O-O Bg5 Bxg5 Nxg5 Nd7 Nxh7 Re8 Ne3 Nxe5 Nxd5 cxd5 Bb5 Rd8 Ng5 a6 Be2 b5 O-O f6 Nf3 Nc4 Rab1 Bb7 Nd4 Rf8 Nxe6 Rfe8 Nd4 Nd2 Bh5 Rf8 Ne6 Rfd8 Nxd8 Rxd8 h3 Nxf1 Rxf1 d4 cxd4 Rxd4 Rd1 Rxd1+ Bxd1 Kf7 g4 Ke6 f4 Kd6 Bb3 a5 a3 Kc5 Kf2 Kd4 Bc2 b4 axb4 axb4 Ke2 Bh1 h4 Bd5 g5 Bf7 Kf3 Kd5 Ke3 Kd6 Kd4,1510,1551,1551
black,win,e4 d6 d4 e6,Unknown,48,2025.12.28,300+8,e4 d6 d4 e6 f4 c6 Nf3 Nf6 Bd3 d5 e5 Nfd7 Be3 c5 dxc5 Nxc5 Qe2 Nxd3+ Qxd3 Nc6 Qb5 Be7 Nc3 O-O Qd3 Nb4 Qd2 Bd7 O-O a6 Qf2 b5 Qg3 Nxc2 Rae1 Nxe3 Rxe3 Qb6 Re1 Bc5 Ng5 Bxe3+ Rxe3 d4 Qh4 h6 Rd3 dxc3+ Kf1 Bc6 Nf3 cxb2 Rb3 Bxf3 gxf3 Rad8 Rxb2 Qe3 Kg2 Rd2+ Rxd2 Qxd2+ Kg3 Qxa2 Kg4 Qd5 h3 b4 f5 exf5+ Kxf5 Qe6+ Kf4 b3 Kg3 b2 f4 b1=Q Kh2 Qc2+ Kg3 a5 Qh5 a4 h4 a3 Kf3 a2 Ke3 a1=Q Qf3 Qe1+ Kd4 Qed2+,1468,1546,1546
white,loss,d4 e6 e3 d5,Unknown,33,2025.12.28,300+8,d4 e6 e3 d5 Bd3 h5 f4 g5 Nf3 gxf4 exf4 h4 h3 Nf6 Ne5 Ne4 Nd2 Ng3 Rf1 Nxf1 Nxf1 Bd6 Be3 Bxe5 fxe5 f5 Qf3 Qe7 O-O-O b6 Kb1 Ba6 c3 Bxd3+ Rxd3 Nc6 Nd2 O-O-O Nb3 a6 Rd1 a5 Qf2 a4 Nd2 a3 b3 b5 Nf3 b4 Bg5 Qf7 Bxd8 Rxd8 cxb4 Nxb4 Rc1 Nd3 Qc2 Nxc1 Qxc1 Qe7 Nd2 Rg8,1553,1494,1553
white,loss,d4 e6 e3 Nf6,Unknown,23,2025.12.28,300+8,d4 e6 e3 Nf6 f4 Ne4 Nf3 c5 c3 cxd4 exd4 Nc6 Bd3 d5 O-O Bd6 Ne5 Qh4 g3 Qh3 Qf3 h5 Bxe4 dxe4 Qxe4 Nxe5 fxe5 Be7 Bf4 h4 Qg2 hxg3 Qxh3 gxh2+ Qxh2 Rxh2 Kxh2 b6 Nd2 Bb7 Nc4 O-O-O Kg3 Rh8 Rh1,1557,1642,1557
white,win,d4 d5 e3 Nf6,Queen's Gambit,20,2025.12.28,300+8,d4 d5 e3 Nf6 Bd3 a6 f4 Bg4 Nf3 h6 O-O e6 Qe1 Bxf3 Rxf3 Ne4 Nd2 Nf6 c3 Bd6 Rf1 Nc6 Nf3 Nh5 Ne5 Bxe5 fxe5 O-O e4 Ne7 exd5 Qxd5 Be4 Qc4 Bxb7 Rab8 Bf3 Nf4,1553,1465,1553
black,loss,d4 e6 Nc3 c6,Unknown,27,2025.12.28,300+8,d4 e6 Nc3 c6 Bf4 d5 Nf3 f5 e3 Nf6 h3 Bd6 Bxd6 Qxd6 a3 O-O Ne5 Ne4 Bd3 Nd7 g4 Nxe5 dxe5 Qxe5 gxf5 exf5 Ne2 Bd7 Nf4 Qxb2 Rb1 Qc3+ Kf1 Nd2+ Kg2 Nxb1 Qxb1 Rab8 Rg1 Qf6 Kh1 b6 Nh5 Qh4 Rxg7+ Kh8 Qb2 Qxh3+ Kg1 Qxh5 Rg5+ Rf6 Qxf6#,1621,1558,1558
white,loss,d4 e6 e3 Nf6,Unknown,23,2025.12.28,300+8,d4 e6 e3 Nf6 Bd3 c5 c3 cxd4 exd4 a6 f4 b5 Nf3 Bb7 O-O Qb6 Kh1 Be7 Qe2 h6 Be3 Ng4 Bd2 g5 h3 Nf6 Ne5 gxf4 Bxf4 Nc6 Nd2 Rg8 Ndf3 Nxe5 Bxe5 Nh5 Bh2 Bd6 Rf2 Bxh2 Kxh2 Qd6+ Kh1 Ng3+,1562,1652,1562
black,loss,e4 c6 Nf3 e6,Caro-Kann Defence,27,2025.12.28,300+8,e4 c6 Nf3 e6 d4 d5 e5 Ne7 Bd3 Nd7 O-O c5 c3 c4 Bc2 Nc6 b3 b5 bxc4 bxc4 a4 Be7 Ba3 O-O Bxe7 Qxe7 Na3 Nb6 Nb5 Bd7 Nd6 Rab8 Qd2 Nc8 Nxc8 Rfxc8 Ng5 h6 Nf3 f6 Rfe1 fxe5 Nxe5 Nxe5 Rxe5 Qf6 f3 Rf8 a5 Rb2 Bh7+ Kh8 Qxb2,1625,1567,1567
black,win,e4 c6 d4 e6,Caro-Kann Defence,46,2025.12.27,300+8,e4 c6 d4 e6 Nf3 d5 e5 a6 Bd3 c5 c3 c4 Be2 Ne7 Bg5 Nbc6 O-O Qb6 b3 Na5 b4 Nac6 Nh4 Ng6 Nd2 Be7 Ndf3 Bxg5 Nxg6 hxg6 Nxg5 Bd7 f4 Ne7 g4 O-O-O Nxf7 Rde8 Nd6+ Kc7 Nxe8+ Bxe8 Qc2 Kb8 a4 Qd8 a5 Nc8 Rfb1 Qh4 Bf3 Qh3 Qg2 Qh4 Ra2 Na7 h3 Nb5 Rc1 Qh6 Rcc2 Qxf4 Rf2 Qe3 g5 Nxc3 Rc2 Ba4 Rd2 Nb5 Bxd5 exd5 e6 c3 Qxd5 cxd2 Qe5+ Qxe5 dxe5 d1=Q+ Rf1 Qxf1+ Kxf1 Re8 Ke2 Rxe6 Ke3 Rxe5+ Kf4 Rf5+,1474,1562,1562
